path,annotation
audio/train_00001.wav,AUDIO TRANSCRIPTION FOR CLIP ONE
audio/train_00002.wav,AUDIO TRANSCRIPTION FOR CLIP TWO
audio/train_00003.wav,AUDIO TRANSCRIPTION FOR CLIP THREE
audio_augmented/train_00001_0.9.wav,AUDIO TRANSCRIPTION FOR CLIP ONE
audio_augmented/train_00001_1.1.wav,AUDIO TRANSCRIPTION FOR CLIP ONE
audio_augmented/train_00001_1.2.wav,AUDIO TRANSCRIPTION FOR CLIP ONE
audio_augmented/train_00002_0.9.wav,AUDIO TRANSCRIPTION FOR CLIP TWO
audio_augmented/train_00002_1.1.wav,AUDIO TRANSCRIPTION FOR CLIP TWO
audio_augmented/train_00002_1.2.wav,AUDIO TRANSCRIPTION FOR CLIP TWO
audio_augmented/train_00003_0.9.wav,AUDIO TRANSCRIPTION FOR CLIP THREE
audio_augmented/train_00003_1.1.wav,AUDIO TRANSCRIPTION FOR CLIP THREE
audio_augmented/train_00003_1.2.wav,AUDIO TRANSCRIPTION FOR CLIP THREE
